England_SE_and_Central_S Rainfall (mm)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 05/11/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1951   89.1  154.6   99.2   71.0   63.9   32.7   47.9  120.2   87.2   32.5  174.3   70.6   298.1  234.1  200.9  294.0  1043.3
1952   64.2   22.0   78.7   42.5   64.3   37.5   16.7   89.3   88.7   95.9  102.1   75.4   156.8  185.5  143.5  286.8   777.4
1953   26.9   40.7   11.8   60.2   49.8   49.9   88.5   54.3   80.9   89.3   42.9   21.3   143.1  121.8  192.7  213.0   616.5
1954   43.1   69.5   77.1    8.5   57.8   90.1   78.9   85.4   66.3   65.8  146.2   64.0   133.9  143.4  254.3  278.3   852.6
1955   85.2   45.2   34.9   10.8  108.6   65.2   24.2   29.8   47.7   95.9   49.7   87.7   194.4  154.2  119.2  193.3   684.9
1956  119.9   12.6   19.3   37.3   11.0   59.9   85.4  101.4   81.7   45.3   20.0  109.5   220.2   67.5  246.7  146.9   703.1
1957   57.2  101.4   43.2    6.8   36.7   37.0  101.1   71.7   82.9   51.8   73.6   64.8   268.2   86.7  209.8  208.3   728.3
1958   88.7   73.0   41.9   27.9   62.1  100.4   55.4  100.0  109.4   83.4   60.5   96.2   226.5  131.9  255.8  253.3   898.9
1959   88.6    3.5   70.4   67.5   23.4   29.2   52.9   44.1    3.7   74.1   98.1  167.6   188.4  161.3  126.2  176.0   723.2
1960   88.1   66.5   47.6   26.3   44.0   57.9   92.6  108.3  101.5  194.1  138.0  103.4   322.2  117.9  258.8  433.6  1068.4
1961  107.7   66.8    2.9   84.7   30.2   32.5   40.8   39.8   72.6   97.4   61.2   99.5   277.9  117.8  113.1  231.3   736.2
1962  105.8   14.6   40.0   49.7   50.7    7.1   48.8   83.5   85.5   43.3   79.0   69.8   219.9  140.5  139.3  207.8   677.8
1963   19.6   22.0  101.6   79.7   45.2   70.0   39.9   87.5   68.0   52.7  153.8   23.8   111.4  226.5  197.4  274.6   763.9
1964   21.7   30.0   94.5   73.0   71.5   89.4   27.2   30.1   20.5   51.7   58.2   70.3    75.5  239.0  146.7  130.3   638.0
1965   77.7   10.0   64.3   44.0   47.7   57.8   82.4   66.1  119.1   18.1   90.1  128.8   158.0  156.0  206.3  227.3   806.1
1966   47.7  113.0   17.6   98.2   55.3   67.9   82.3   85.4   35.3  152.2   62.3   83.6   289.6  171.1  235.6  249.8   900.8
1967   67.8   77.4   55.5   50.9  116.0   44.7   30.2   60.4   85.3  138.8   59.8   65.7   228.7  222.4  135.3  283.8   852.4
1968   65.0   50.1   29.2   65.5   62.2   75.7   73.2   67.2  156.6   85.4   47.3   82.9   180.9  156.9  216.1  289.2   860.3
1969   90.1   48.5   64.9   27.3   85.2   34.2   68.3   73.6   23.0    6.1  117.9   75.5   221.5  177.4  176.1  147.0   714.5
1970  102.6   59.8   51.4   62.6   26.1   31.0   57.9   62.5   72.3   19.8  187.2   43.0   237.9  140.2  151.4  279.2   776.2
1971  106.5   24.5   66.1   53.6   51.4  136.2   25.6   73.4   14.1   62.4   63.6   26.2   174.0  171.1  235.2  140.0   703.6
1972   84.1   71.6   67.7   61.6   57.9   44.2   38.2   24.9   36.2   27.7   78.7  107.4   181.9  187.2  107.3  142.5   700.1
1973   31.8   24.8   17.7   53.9   70.8   64.7   50.0   40.1   81.9   38.7   31.9   52.9   164.0  142.4  154.8  152.5   559.1
1974  108.7  113.3   35.5   15.2   29.7   75.5   51.3   88.2  167.8   72.8  152.2   52.9   274.8   80.4  215.0  392.8   963.0
1975  127.3   28.1   95.5   48.9   54.5   12.2   36.7   40.0  134.1   30.6   71.4   33.3   208.2  198.9   88.9  236.1   712.5
1976   18.3   32.0   21.8   10.6   24.9   14.4   30.8   18.1  131.6  145.3  124.7   93.2    83.6   57.3   63.3  401.7   665.8
1977   87.3  103.3   75.2   33.6   48.3   68.7   21.9  118.0   23.6   52.7   83.9   96.2   283.8  157.1  208.5  160.2   812.7
1978  102.3   61.9   66.6   56.7   54.5   41.5   77.7   41.9   20.6    6.1   22.6  159.3   260.4  177.8  161.1   49.2   711.6
