East_Anglia Rainfall (mm)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 05/11/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1951   61.0   86.8   78.7   78.3   57.3   30.2   41.3   84.2   64.0   21.6   90.7   39.2   190.6  214.3  155.6  176.4   733.3
1952   51.5   20.3   69.6   33.4   36.8   34.1   22.4   77.8   73.8   56.0   95.4   57.9   111.0  139.9  134.3  225.3   629.2
1953   25.7   35.7   14.5   53.8   37.1   66.3   68.1   54.3   38.4   60.1   32.7   20.2   119.3  105.4  188.7  131.2   506.9
1954   33.7   51.6   56.3    8.2   55.0   61.2   67.6  105.2   42.2   51.2   97.7   48.2   105.5  119.5  234.0  191.2   678.2
1955   50.9   50.4   37.4   11.4   75.0   58.1    7.7   34.1   45.5   84.1   23.7   41.9   149.6  123.9   99.9  153.3   520.3
1956   86.5   25.8   18.6   26.1   16.8   58.4   76.8  105.8   41.4   46.9   23.6   53.5   154.2   61.4  241.0  111.8   580.1
1957   33.7   60.0   39.8    6.8   31.0   47.3   75.0   60.4   85.9   39.4   49.0   52.2   147.2   77.6  182.7  174.3   580.4
1958   56.7   74.4   27.8   28.0   62.7  107.4   77.4   77.5   74.6   52.5   35.7   70.8   183.2  118.5  262.2  162.8   745.5
1959   67.3    3.5   42.0   45.4   14.7   25.7   63.4   33.7    1.7   46.0   51.0   86.8   141.6  102.2  122.7   98.7   481.2
1960   69.6   38.8   34.1   14.5   22.0   44.9   80.6   79.9   92.2  125.6   85.6   80.9   195.2   70.6  205.4  303.4   768.7
1961   67.5   47.0    8.3   48.5   27.9   30.7   41.9   55.9   62.8   83.4   49.8   81.5   195.3   84.8  128.6  196.0   605.3
1962   56.6   20.0   34.6   44.4   45.7    5.6   72.8   50.5   71.4   30.5   47.3   46.2   158.1  124.6  128.9  149.2   525.5
1963   24.6   16.4   65.9   52.1   48.4   46.0   46.7   83.3   46.6   38.7   84.3   16.2    87.2  166.5  176.0  169.5   569.2
1964   19.4   23.9   71.9   62.9   29.5   94.3   30.7   27.9   14.6   37.2   35.4   42.6    59.5  164.3  152.8   87.3   490.3
1965   49.5   20.1   50.5   55.7   40.4   53.0   79.7   59.7   98.8   16.0   63.4  104.1   112.2  146.6  192.3  178.2   690.9
1966   29.6   63.7   14.8   61.8   39.8   69.2   79.2   73.9   26.2   78.9   67.0   74.9   197.4  116.4  222.3  172.1   679.1
1967   31.7   45.0   22.9   58.0   86.4   30.4   38.5   44.5   49.5   91.1   54.8   50.1   151.6  167.2  113.3  195.4   602.8
1968   45.9   32.1   23.5   41.3   42.7   68.0   83.9   87.9  121.7   49.3   43.5   51.5   128.1  107.5  239.9  214.6   691.4
1969   57.3   51.9   56.9   34.6   84.2   39.0   72.2   60.2    4.3    7.0   81.7   63.2   160.7  175.7  171.4   93.0   612.6
1970   61.9   55.7   44.8   66.7   18.8   27.8   43.2   39.0   42.6   26.7  138.9   47.3   180.8  130.3  110.0  208.2   613.4
1971   73.0   15.6   41.3   28.5   39.2   73.6   35.1   69.8   21.1   57.1   80.1   27.0   135.8  108.9  178.5  158.3   561.3
1972   61.7   34.6   41.1   41.5   38.3   35.5   48.5   23.2   38.5    7.2   57.2   48.3   123.4  120.8  107.2  103.0   475.6
1973   16.4   20.7   13.3   52.1   65.4   59.6   63.1   25.1   78.1   36.6   29.2   34.4    85.5  130.8  147.8  143.9   494.1
1974   45.0   57.4   26.3   11.3   19.0   52.3   44.8   84.4   90.7   99.6  107.6   32.3   136.8   56.7  181.6  297.9   670.9
1975   70.1   21.7   76.9   58.6   53.9   25.8   33.7   16.3   90.1   15.5   58.0   32.0   124.1  189.4   75.9  163.6   552.7
1976   37.8   18.2   13.5   13.7   29.6   11.5   32.8   41.7   85.7   98.0   68.6   59.6    88.0   56.8   86.0  252.3   510.7
1977   65.0   80.1   44.6   31.4   40.3   50.1    9.9   97.0   16.1   23.2   54.8   57.0   204.7  116.3  157.0   94.1   569.5
1978   72.8   45.8   59.3   44.1   48.9   66.2   60.5   47.0   32.9    6.2   22.8  103.8   175.6  152.3  173.8   61.8   610.3
1979   63.2   56.8   87.5   55.4   79.0   32.2   20.5   57.9   18.8   49.2   48.2   95.4   223.8  222.0  110.6  116.1   664.1
1980   38.6   46.1   61.0   23.3   15.2   82.9   64.7   49.5   27.2   81.0   49.4   43.3   180.1   99.5  197.2  157.5   582.2
1981   42.0   24.4   92.1   69.1   67.2   31.8   57.4   29.3   76.0   70.4   37.1   53.0   109.7  228.4  118.5  183.6   649.9
1982   37.3   19.3   53.1   13.2   58.2   97.8   24.3   53.2   50.1  122.4   71.8   54.3   109.6  124.5  175.4  244.3   655.0
1983   42.4   40.3   36.8   91.7   94.7   22.0   30.5   12.9   63.4   38.7   48.1   42.6   137.1  223.2   65.4  150.1   564.1
